Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Data Ethics: Making Data-Driven Decisions,"Most companies have complex computer algorithms deciding who gets a bank loan, job interview, or health insurance. Do you have an ethical obligation to explain the decision-making back to your customer? How do you design systems that are free of gender or racial bias? These systems will define your organization. Yet many of these decisions aren’t happening in the boardroom. Instead they’re made in much smaller meetings with people just like you—project managers, business analysts, directors, and software developers. This course gives you the skills you need to make the best decisions. Instructor Doug Rose helps you consider the duties you have to your customer, think about the consequences of your algorithms’ decisions, and acting virtuously when wrestling with key data ethics challenges.
<br><br>
This course was created by Doug Rose. We are pleased to offer this training in our library.",Course,2025-05-21 12:29 UTC,2025-05-21 12:28 UTC,false,N/A,
XML Essential Training,"Extensible Markup Language (XML) was designed to make information sharing and data interpretation easier. Having a solid grasp of what XML is and how to work with it is essential for any developer. In this course, Joe Marini takes you through the basic rules of XML, explains its syntax, and covers more advanced topics such as styling your XML with CSS and manipulating XML content using XPath and XSLT.  From integrating XML into your site to using document type definitions and XML schema, this course covers what you need to know to not only get started with XML, but also master it.",Course,2025-05-19 07:40 UTC,N/A,true,N/A,
Excel Essential Training (Microsoft 365) (2022),"<p>Get up to speed with Microsoft Excel, the world's most popular spreadsheet program. Follow along with Excel expert Dennis Taylor as he demonstrates how to efficiently manage and analyze data with this powerful program. Learn how to enter and organize data, perform calculations with simple functions, and format the appearance of rows, columns, cells, and data. Plus, check out Excel’s newly revamped Accessibility Checker that helps you adjust fonts and colors to be more readable and add alt-text for images, to make your workbooks more accessible to people with disabilities. Other lessons cover how to work with multiple worksheets, build charts and PivotTables, sort and filter data, print in Excel, use Microsoft Copilot with Excel, and more.</p>",Course,2023-02-06 16:05 UTC,N/A,false,N/A,
Optimize Your Resume for Applicant Tracking Systems,"Job seekers typically understand that there's some sort of digital barrier standing between them and the jobs they see advertised online. And they know they need to use keywords to overcome it. But many aren't familiar with applicant tracking systems (ATS)—the software that acts as a gatekeeper for companies and recruiting agencies. In this course, career strategist Jenny Foss explains how recruiters use this software, as well as how to create a winning resume—one that’s not just a compelling read for recruiters, but also optimized for the ATS. Discover how applicant tracking systems work and how to select keywords to maximize your chances for success. Explore how your choice of formatting, fonts, and graphics can trip up the ATS. Plus, learn about the best type of resume for the ATS, as well as how to rework your own resume to ensure it gets into the hands of the right person.",Course,2022-05-10 06:19 UTC,N/A,false,N/A,
Learning Soldering for Electronics,"In an electronic product such as a cell phone, toy, or automobile, electronic components are attached using solder, a metal compound that melts at a low-enough temperature to be able to be worked by hand or machine. Whether you are prototyping a new product, manufacturing a product at scale, or working on a project in your spare time, you will need to learn how to solder in order to create the electrical and mechanical connections that make it all work. In this course, learn about the tools and techniques needed to make great solder connections. Plus, get troubleshooting tips, including how to fix a cold solder joint and repair a mistake in a PCB.",Course,2021-02-14 09:13 UTC,N/A,false,N/A,
Material Requirements Planning (MRP) Strategies in SAP,"Discover how to calculate the materials required for product manufacturing with greater accuracy and speed within SAP. The SAP ERP tool has many different material requirements planning (MRP) strategies that are preconfigured and ready to implement; you just need to learn how to choose the right one. This course guides you through the configuration options and business processes behind the make-to-stock (MTS), make-to-order (MTO), and component-level MRP strategies. You can also explore a hybrid strategy for multi-use materials, for use with components in production and spare parts. Once you have completed this course, you should be able to pair the right material requirements planning strategy for every possible business scenario.<br><br>This course was created by Michael Management. We are pleased to offer this training in our library.",Course,2020-08-31 20:04 UTC,N/A,false,N/A,
Root Cause Analysis: Getting to the Root of Business Problems,"Problems are nothing new, but how do we get to the root causes of the problems and fix them? In this course, Sam Yankelevitch addresses root cause analysis and how you can make it work for your business. Sam defines root cause analysis (RCA) and explains how to work with others to find root causes. He describes how to build a Pareto chart to separate vital causes from trivial ones, then goes into the Is/Is Not method, process mapping, fishbone diagrams, five whys analysis, and more. Sam discusses how you can combine different root cause analysis methods and offers tips and suggestions to make your root cause analysis process more effective and efficient. He finishes up with an exploration of the importance of RCA for your business.",Course,2023-08-27 07:02 UTC,N/A,false,N/A,
SAP S/4 HANA Financial Accounting Overview,"Learn the core processes and new functionalities built into the SAP S/4HANA Financial Accounting module—a fundamental requirement for any finance professional using SAP.  Whether you’re an accountant or the member of a finance team, you need to understand the basic scope and function of the four major submodules in Financial Accounting: General Ledger, Accounts Payable, Accounts Receivable, and Asset Accounting. In this course, you can learn about the common business tasks and transactions associated with each submodule and how Finance Accounting integrates with other SAP modules. You can also get familiar with the S4 Fiori user experience, a lightweight app-based interface for SAP. Learn the core processes and new functionalities built into the SAP S/4HANA Financial Accounting module—a fundamental requirement for any finance professional using SAP.  Whether you’re an accountant or the member of a finance team, you need to understand the basic scope and function of the four major submodules in Financial Accounting: General Ledger, Accounts Payable, Accounts Receivable, and Asset Accounting. In this course, you can learn about the common business tasks and transactions associated with each submodule and how Finance Accounting integrates with other SAP modules. You can also get familiar with the S4 Fiori user experience, a lightweight app-based interface for SAP.<br><br>This course was created by Michael Management. We are pleased to offer this training in our library.",Course,2020-12-18 12:20 UTC,N/A,false,N/A,
"Italian, Part 2: Possessives, Prepositions, and Pronouns","<p>Explore the beauty and diversity of Italy’s history, culture, and cuisine as you learn how to handle real-life conversations in Italian. This course—the second in a four-part series from The Great Courses—covers how possessive adjectives (“my,” “your,” and “our” in English) and possessive pronouns (“mine,” “yours,” and “ours”) function in Italian. Explore their use in text describing the geography, scenic landscapes and coastline, and traditional houses of the Puglia region, and add important vocabulary about the family. Practice what you’ve learned in discussing <i>Tre Fratelli</i> and <i>Mine Vaganti</i>, two films set in Puglia.</p>

<p><b>About the instructor</b><br><br>
Kristina Olson is an associate professor of Italian and the Italian program coordinator at George Mason University, where she has taught Italian language, literature, and cinema since 2005. She earned her PhD in Italian from Columbia University. Professor Olson is the author of <i>Courtesy Lost: Dante, Boccaccio, and the Literature of History</i> and several articles on Dante, Boccaccio, and Petrarch. She is the coeditor of <i>Open City: Seven Writers in Postwar Rome</i>; <i>Boccaccio 1313–2013</i>; and the second edition of <i>Approaches to Teaching Dante’s Divine Comedy</i> with the Modern Language Association. Professor Olson is the president of the American Boccaccio Association and was the vice president of the Dante Society of America.</p>",Course,2025-08-12 06:54 UTC,N/A,false,N/A,
"How to Work Smarter, Not Harder: Save Time and Money and Increase Productivity","More and more people are working from home, managing remote teams, and juggling multiple projects. The time is now to learn how to work smarter, not harder. Luckily, today’s technology makes it easier than ever to increase productivity and efficiency. This course is for anyone trying to grow their business or move ahead in their career without becoming overwhelmed. Chelsea Krost provides tangible tips, tools, and techniques to increase overall productivity and give you back precious time in the day. Learn how to embrace the mindset of successful entrepreneurs and small business owners, manage your time effectively, tackle your to-do list, leverage automation and delegation, and power up your social media, content marketing, and branding strategies to direct more attention and traffic to your business. Each tool and workflow has been tested by Chelsea and her clients—and the skills taught apply to any industry. Start watching and working smarter today.",Course,2021-01-21 08:16 UTC,N/A,false,N/A,
DevOps Foundations: Continuous Delivery/Continuous Integration,"<p>Continuous delivery is one of the major DevOps practice areas. By continuously building, testing, and delivering your code, you can reap huge stability, speed, and flexibility benefits. In this course, learn about continuous integration and continuous delivery (CI/CD), and see how these concepts work in practice by constructing your own build pipeline. Throughout this course, instructors James Wickett and Ernest Mueller discuss elements of the pipeline as they show how to take an app written in the Golang programming language from development to production. They walk through version control, building artifacts, unit testing, and deployment, demonstrating common practices and tools along the way. They conclude with some practical advice on CI/CD best practices and common pitfalls, workarounds, and compromises that you may encounter on your journey to continuous delivery.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/devops-professional-certificate-by-pagerduty-and-linkedin?u=104"" target=""_blank"">Professional Certificate</a> from PagerDuty.</p>",Course,2024-03-01 07:20 UTC,N/A,false,N/A,
Tips to Boost Your Focus at Work,"In this course, join Dr. Sasha Hamdani, psychiatrist and author, as she guides you through an overview of the neurobiology of focus and shows you how to optimize various aspects of your life to enhance concentration and productivity. Discover how to design a conducive environment, adopt dietary habits that support brain health, and implement effective strategies to manage distractions and maintain focus at work. Full of practical exercises and evidence-based techniques, this course empowers you with the skills you need to know to build lasting habits and achieve peak mental performance.",Course,2025-05-22 10:00 UTC,N/A,false,N/A,
Strategic Monoliths and Microservices,"<P>Today, businesses and software developers must rapidly innovate and compete while maintaining order and balance with software architecture. In this course, expert Vaughn Vernon teaches you to think and make decisions like a CTO and chief architect. Learn to identify core purpose, and then make informed decisions about architecture, programming languages, patterns, and tools to support that purpose.
 </p><P>
Learn about innovative thinking and how design and implementation can align with strategic business goals. Explore how to use EventStorming, impact mapping, domain-driven design, and event-driven architecture, and deploy right-sized services. Whether the best choice is a monolithic architecture, microservices, or a hybrid, learn to identify what helps you and your team deliver what the business demands: success with strategic software.
 </p><P>
Note: This course was created by Pearson. We are pleased to host this training in our library.",Course,2025-10-02 09:49 UTC,N/A,true,N/A,
Practical Engineering,"Engineering involves a lot of theory. But we don't always get to see it in practice. This series teaches fundamental principles that all civil and mechanical engineers need to know, alongside demonstrations that show how they really work. Using everything from desktop models predicting the movement of groundwater to hand-built examples of mechanically stabilized earth, instructor Grady Hillhouse explains how engineering concepts become real. Every month, he introduces an important new topic that will improve your understanding of essential engineering principles, including force, strength, tension, compression, and more, and help you find better solutions to common design challenges.<br><br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2024-05-14 06:00 UTC,N/A,false,N/A,
Data-Driven Product Research and Design,"Data-driven research and design are vital to modern product teams, but how do you find out which processes and tools will work best for your team? In this course, tech expert Shanae Chapman guides you through the tools and workflows for creating a data-driven product roadmap. Learn how to identify and collect challenges and questions for research efforts. Find out how to plan, recruit for, and schedule research sessions using common tools. Explore inclusive recruiting and interviewing processes and best practices. Go over design discovery using shared tools, as well as ways you can collect, collate, and present data findings to your team and stakeholders. Plus, discover tools that can help you manage the process of design research across your team.",Course,2025-10-02 09:46 UTC,N/A,false,N/A,
"Java Memory Management: Garbage Collection, JVM Tuning, and Spotting Memory Leaks","In this course, Java developer Maaike van Putten takes an in-depth look at one of the toughest topics in Java, memory management. Maaike starts with garbage collection, from an overview of the basics, to the different phases of garbage collection, to the varying implementations. She then details the facets of tuning the Java virtual machine, including how and why to choose the different options for the heap size and how to get metrics to see what is going on inside the JVM with the memory and garbage collection. Lastly, Maaike teaches you about memory leaks—what they are, how to spot them, and how to avoid them.
If you’re looking for ways to solve your Java memory problems, join Maaike in this course.",Course,2023-08-03 22:02 UTC,N/A,false,N/A,
Data Resilience with Spring and RabbitMQ Event Streaming,"RabbitMQ is a widely deployed messaging solution and Spring is a popular framework for building modern Java applications. In this course, Gregory Green explains how Spring and RabbitMQ can be used to build a resilient data architecture for critical applications. Learn about RabbitMQ features such as quorum queues, streams, and multi-site replication. Gregory also reviews Spring projects like Spring Cloud and AMQP that simplify building production-ready applications. Plus, learn how Kubernetes improves resiliency for Spring applications and RabbitMQ.",Course,2024-12-10 07:51 UTC,N/A,false,N/A,
SAP Fiori Apps Library (2019),"Whether your role is in business, IT, or development, the Fiori Apps Library is the definitive resource for customizing your SAP experience. Using the library, you can tailor your own Fiori launchpad to suit your workday needs. This concise course teaches you how to make the most of the online catalog of Fiori applications. Learn how to navigate and filter the library, search for apps, manage profiles, and get specific Fiori app recommendations based on your system.<br><br>This course was created by Michael Management. We are pleased to offer this training in our library.",Course,2022-03-02 07:32 UTC,N/A,false,N/A,
PowerPoint: Designing Better Slides (2017),"Designed for non-designers, this course introduces average business professionals to key design components and requirements for purposeful PowerPoint slide design. PowerPoint MVP Heather Ackmann avoids convenient—but unproven—blanket rules for presentations, reaching instead for an understanding and holistic view of design. Heather's approach supports the three basic pillars for effective PowerPoint slides: audience, environment, and message. She guides you through before-and-after examples showing how to properly use white space in slide design, if and when to use bullet points to communicate, how to contrast elements and main ideas effectively, and finally, how to best use color.",Course,2017-11-18 13:44 UTC,N/A,false,N/A,
Automate Development Tasks with OpenAI’s Codex,"Welcome to the age of the agent orchestrator. Codex is a cloud-based AI agent for software development. Once connected to a GitHub repository, it can automate tasks like fixing bugs, refactoring code, generating tests, and reviewing pull requests.
It runs in an isolated environment, writing and testing code based on natural language prompts. Developers can use “ask” mode to get architectural insights or “code” mode to apply concrete changes.
Codex executes shell commands and validates its work against test suites, producing clean, review-ready diffs. It transforms tedious engineering work into repeatable workflows powered by intelligent automation.",Course,2025-10-02 09:44 UTC,N/A,false,N/A,
Public Speaking for Non-Native English Speakers,"Speaking in public isn't easy for most people, and if English isn’t your first or second language, it might be even more challenging. Designed specifically for non-native English speakers, this course provides practical strategies and techniques to increase clarity and confidence when communicating in English. Executive communication coach and professor Dr. Peter Novak embraces linguistic and cultural diversity in the workplace. Instead of focusing on your accent, Dr. Novak encourages you to shift your efforts towards listener-friendly delivery and embrace your multilingual self. He covers strategies to identify and reduce accent bias, plus specific techniques to increase understandability and generate confidence. Dr. Novak presents a step-by-step guide on how to score a script for delivery, so you can focus on making a better connection with the audience. Strengthen your delivery and build your confidence with these easily integrated approaches to public speaking.
<br><br>
Note: This course was created by the Strictly Speaking Group. We are pleased to host this training in our library.",Course,2023-07-18 23:11 UTC,N/A,false,N/A,
The Step-by-Step Guide to Building your Thought Leadership on LinkedIn,"Generating business, reaching new clients, or acting as a spokesperson for your company or product—there are many benefits to building your thought leadership on LinkedIn. Whether you are a seasoned professional or just starting out, Alexandra Galviz (""Authentic Alex”) can help. Alex is a Linked Top Voice for the UK and the cofounder of #LinkedInLocal. In this course, she offers a step-by-step guide to using LinkedIn to reach audiences and establish your expertise. She explains how to craft an authentic voice, grow your audience of brand ambassadors, and create courageous content. Each chapter is filled with examples of her favorite thought leaders in the UK, from entrepreneurs to business leaders. By the end, you’ll be sharing your stories in an authentic and relatable way and creating a deeper connection with your network.",Course,2020-12-15 09:57 UTC,N/A,false,N/A,
HTTP Essential Training,"Hypertext Transfer Protocol (HTTP) is one of the most utilized protocols on the internet. In this course, instructor Morten Rand-Hendriksen helps you bolster your understanding of how HTTP works by reviewing fundamental concepts. He begins by explaining what HTTP is, and then covers key terminology and the HTTP flow. He then discusses the request/response pair, HTTP methods, and status messages. To wrap up, he goes over HTTP headers, explaining what they are and how to see them.",Course,2025-07-29 06:30 UTC,N/A,false,N/A,
Git Essential Training,"<p>If you’ve ever wondered why someone should use Git or how to use it for version control, this is a great course to get started. Join Azure MVP and GitHub Star Barbara Forbes as she guides you through the installation process, the Git workflow, setting up and pushing code into a repo, and committing changes, all with a focus on version control and how Git can help you achieve it. Find out why people use Git. Learn how Git works, locally or through a provider, and how you can get it installed, configured, and running the way you need it to work. Follow the full process of pushing your code with Git, then explore ways to make changes to files. Discover important concepts in Git, like how to ignore files you don’t want to include, how branching and merging can help you with development, what should be in a commit, and how to troubleshoot common errors.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out “Using GitHub Codespaces"" with this course to learn how to get started.</p>",Course,2025-10-01 08:37 UTC,2025-10-01 08:32 UTC,false,N/A,
Nano Tips for Using Excel with Miss Excel (2021),"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>Here, join Miss Excel (aka Kat Norton)—a Microsoft MVP with 750,000+ followers on TikTok—as she shares tips and answers to common questions about Microsoft Excel, all set to a beat. Topics include fixing data in Excel (PivotTable), the filter function in Excel (VLOOKUP), VBA basics in Excel, and more. Each high-energy video offers up quick fixes for things you need to know right now about Excel and also prepares you for more in-depth learning.",Course,2022-04-04 09:07 UTC,N/A,false,N/A,
Project Management Foundations: Teams,"<p>Explore leading techniques for understanding the personality traits of team members, and for managing the development of teams. Instructor Daniel Stanton discusses the value of learning about team members and explains a number of assessments that can assist with identifying personality types, emotional intelligence, strengths, and work styles. He also shares ways project managers can use these tools to relate to colleagues and create an environment in which everyone is able to succeed. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-project-management-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2021-02-28 15:55 UTC,N/A,false,N/A,
Microsoft Project for the Web: Reporting with Power BI,"Create clearer, more visually compelling project reports using Power BI, the data visualization tool included with Office. In this course, John Riopel, PMP, gives project management professionals a crash course in Power BI, explaining how it can be used to create more robust project reports. John starts with the basics, explaining the main components of Power BI and showing you how to work with tables, filter the right data using slicers, and format a basic report. Next, John covers more intermediate features of Power BI, such as using samples and content packs, working with measures, and using conditional formatting. Finally, John explains how to work with advanced features, like creating and fine-tuning dashboards in Power BI, merging datasets, and adding custom visuals to your report.",Course,2023-11-13 10:25 UTC,N/A,false,N/A,
Kubernetes for Java Developers,"Kubernetes is one of the most popular container orchestration engines available. More and more employers are looking for developers with Kubernetes experience. As a Java developer, learning Kubernetes deployment techniques is an easy way to extend your existing skills and employability. This course provides a step-by-step guide to help you deploy existing applications with Kubernetes and Amazon Web Services. Learn how to package your applications, create Kubernetes manifests, and deploy them to Kubernetes clusters, both locally and in the Amazon cloud. Instructor Arun Gupta, a professional Java programmer for over two decades, also shows how to configure an Istio service mesh for routing, load balancing, logging, and security and create deployment pipelines that allow you to shift your focus back to building applications.",Course,2020-12-08 10:02 UTC,N/A,false,N/A,
Build Fiori Apps Using ABAP RESTful Programming,"Build your first Fiori app from scratch using ABAP RESTful Programming, and along the way get exposure to Eclipse, Core Data Services (CDS), Entity Manipulation Language (EML), SQL script, and learn how to control functionality via ABAP classes and programs. No SAP Web IDE or JavaScript is used. This course from Michael Management provides two hands-on projects that you can dive into to build a Fiori app that is a simplified version of a real-life ''goods track and trace'' requirement, based on genuine business requirements and deployed in a production S/4 HANA system. First, you’re shown how to set up the basics, and then ways you can enhance the app with clever features, testing your code along the way. 
<br><br>Note: This course was created by Michael Management. We are pleased to host this training in our library.",Course,2023-02-22 21:33 UTC,N/A,false,N/A,
Data Visualization: A Lesson and Listen Series,"<p>Follow along with expert Bill Shander in this series exploring key themes in data visualization, data storytelling, and information design. Each episode is broken into two segments: a short lesson and a listening session where Bill interviews data storytelling and visualization experts about the episode theme. These conversations reveal the creative process, explore techniques and technologies used by working professionals, and illuminate some of the common challenges they face. This series is perfect for anyone interested in how information is presented to the mass market, including professionals in all levels of analytics, data science, and communications.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.<p>",Course,2024-03-08 08:10 UTC,N/A,false,N/A,
Project Management Foundations: Quality,"While quality may be a subjective measure when it comes to products like cars, clothes, or food, you can still loosely think of quality as a measure of expectations versus reality. When it comes to the realm of project management, defining quality is a little more cut and dry: To what degree did the project meet its requirements? In this course, Daniel Stanton provides project managers with an introduction to key quality management concepts. As Daniel points out, quality could be the main factor in making a sale and earning repeat business, and understanding the basics of quality management can help you deliver better results. He covers topics like metrics, Six Sigma techniques, quality function deployment, and Pareto analysis, and explains the difference between qualitative and quantitative quality metrics. After this course, you’ll have a better idea of the role quality management plays within project management.",Course,2021-04-27 17:34 UTC,N/A,false,N/A,
ISACA Certified Information Systems Auditor (CISA) Cert Prep,"<p>The Certified Information Systems Auditor (CISA) certification enables you to prove your ability to audit an organization's information systems compliance, and this course from Cybrary—a leading cybersecurity professional development platform—puts you on the path to gaining the knowledge you need to pass the exam. Deep dive into the process for auditing information systems. Learn about the government and management of IT. Explore the acquisition, development, and implementations of various information systems. Find out how you can make the best use of information systems operations and business resilience. Plus, review in depth what you’ll need to know about information asset security and control.</p>

<p>This course was created by Cybrary. We are pleased to host this training in our library.</p>",Course,2025-08-14 05:06 UTC,N/A,false,N/A,
Level Up: CSS Layout,"This course with Morten Rand-Hendriksen tests your knowledge with 15 CSS layout challenges exploring the opportunities and intricacies presented by modern CSS layout modules. Challenges range in scope from component-level layouts like horizontal menus to sitewide layouts and responsive layouts across multiple viewport widths. If you want to see how your skills stack up or just learn something new, join Morten for this course.
<br><br>
This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. 
<br><br>
Each installment of the <i>Level Up</i> series offers at least 15 bite-sized opportunities to practice programming at various levels of difficulty, so you can challenge yourself and reinforce what you’ve learned. Check out the “Using GitHub Codespaces with this course” video to learn how to get a codespace up and running.",Course,2022-02-20 09:44 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-10-11 08:43 UTC,N/A,false,N/A,
Excel: PivotTables in Depth (2021),"Many Excel users aren’t sure how to use PivotTables. In this course, Excel power user Curt Frye shows you how to navigate the complexity of PivotTables while taking advantage of their power. Curt explains how to build PivotTables from single or multiple data sources, pivot and configure a PivotTable, define a default PivotTable layout, and more. He demonstrates ways to summarize your data, add calculated fields, filter your results, and format your layout to make it more readable. Curt steps you through how to sort and filter PivotTable data, format your PivotTable and, and apply conditional formats. Plus, he goes over how to create PivotCharts to visualize your data, enhance PivotTables with macros, and use the Data Model feature to build PivotTables from related tables.
<br><br> 
Note: This course was recorded in Microsoft 365. However, anyone using a recent standalone version of Excel (Excel 2021, 2019, or 2016) should be able to follow along with the course contents.",Course,2023-07-26 16:25 UTC,N/A,false,N/A,
Data Engineering Pipeline Management with Apache Airflow,"<p>Take a deeper dive into data engineering pipeline management using Apache Airflow. In this course, certified Google cloud architect and data engineer Janani Ravi guides you through using Apache Airflow to complete your data engineering pipeline management workflows. Learn how to work with role-based access control, including creating users with different roles, executing a branching DAG and a SQL DAG, recalling actions that users with different roles can perform, and more. Go over how to manage SLAs and schedule DAGs with datasets. Find out how to work with AirFlow plugins and explore the CSV reader plugin. Plus, discover how to scale Apache Airflow, set up a data transformation pipeline, execute tasks, and more.</p>
 
<p>This course was created by Janani Ravi. We are pleased to host this training in our library.</p>",Course,2025-05-23 15:03 UTC,N/A,false,N/A,
Algorithmic Trading and Stocks Essential Training,"Many stock market trades are conducted with algorithms, computer programs that buy or sell stocks according to mathematical formulas. These equity trades happen at a speed and frequency that humans cannot replicate. It's important for finance professionals and everyone who invests in the stock market to know how these algorithms work. In this course, Professor Michael McDonald shows how to develop a back-tested, rules-based trading strategy and program a simple trading algorithm of your own. Professor McDonald goes over the basics of securities markets, from stocks, bonds, and derivatives to predicting values with regressions. He explains investing and securities, including case studies and a chance to visually examine trading relationships. He shares the steps to build your own algorithms, then goes over buying and selling with an algorithm, expanding the algorithm to other securities, and analyzing scenarios in investing. Plus, Professor McDonald covers practical examples of trading with algorithms.",Course,2025-08-22 05:16 UTC,N/A,false,N/A,
Raspberry Pi Essential Training (2022),"In this introductory class to the Raspberry Pi, technologist Mark Niemann-Ross explains the vocabulary associated with this single-board computer, then shows you how to plug in peripherals and perform basic computing tasks. Mark first describes how the Raspberry Pi compares to other computers and how it can be used as a media server, musical instrument, robotics controller, and more. He covers the members of the Raspberry Pi family and how to select the one that is right for you and the accessories that you need to use it effectively. Mark walks you through connecting your Raspberry Pi to wi-fi and ethernet, as well as getting it started. After examining operating systems for Raspberry Pi, he goes into why a virtual networking computer (VNC) for Raspberry Pi can be very helpful and how you can enable and use one. Mark discusses sound on your Raspberry Pi and how to use and control the GPIO board. After going over Raspberry Pi hardware, he dives into the Raspberry Pico microcontroller, then finishes up with how to run the Raspberry Pi OS on other computers.
<br><br>
Note: This course was created by Mark Niemann-Ross. We are pleased to host this training in our library.",Course,2022-07-12 07:45 UTC,N/A,false,N/A,
Flutter: Part 10 Firebase Cloud Firestore,"Learn how to build and deploy interactive Flutter apps for iOS and Android with Google Firebase. This project-based course is an advanced use case for Flutter that helps developers build a fully functioning messaging app that can be deployed directly to app stores. Instructor Angela Lu starts by helping you prepare the app screens and classes and add custom interactive animation. Then she shows how to create new Firebase projects for both Android and iOS, integrating user authentication and a Firestore database. She also shows how to stream the messaging data and complete the styling of the app in anticipation of launch. This practical assignment helps illustrate the lessons learned and gives you a fun project to add to your Flutter portfolio.<br><br>

This course was created by London App Brewery. We are pleased to host this content in our library.",Course,2022-08-14 16:35 UTC,N/A,false,N/A,
Overcoming Obstacles to Leading with Confidence,"One of the most critical leadership skills is the ability to lead with confidence. Confidence can help leaders gain buy-in, trust, and respect from those they manage and work with cross-functionally. And without it, they may face more challenges than the average person in a leadership role. In this course, former tech executive turned business coach Jennine Heller shares strategies that can help you lead with greater confidence.<br><br>Jennine explores concepts around leadership identity and imposter syndrome to help you get in touch with the leader you aspire to be. She then goes over methods that can help you embody the characteristics of a confident leader. Finally, Jennine emphasizes the importance of continued development in your role as a way to take ownership, instill a culture of learning, and focus on what's most important. Upon wrapping up this course, you'll be better able to tackle leadership roles with the confidence you desire.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2025-07-29 06:00 UTC,N/A,false,N/A,
Excel: Tips and Tricks (2023),"<p>Want to take your Excel game to the next level? In this course, veteran Excel trainer and instructor Dennis Taylor shares powerful tips, tricks, and shortcuts that can help you leverage more of what Excel has to offer. Learn time-saving tricks for creating formulas rapidly, accelerating data entry, and navigating within worksheets efficiently. Plus, discover drag and drop techniques, formatting shortcuts, charting, and much more.
</p><p>
Note: This course was recorded on Excel for Microsoft 365; however, most of the contents will benefit anyone using Office 2019 or 2016.",Course,2025-05-24 08:21 UTC,N/A,false,N/A,
SAP ERP Essential Training,"The SAP Enterprise Resource Planning (ERP) platform helps large organizations streamline their processes across each segment of their business, from sales to financial accounting. In this course, instructor Justin Valley covers key concepts within SAP ERP and shares valuable tips to help you use this enterprise software most effectively. Justin explains the difference between master data and transactional data in SAP before diving into commonly used SAP modules, including SAP Materials Management (MM) and SAP Sales and Distribution (SD). He also shows how end users can navigate inside SAP, use various search methods to find data, run and export reports from SAP, and more.",Course,2022-02-01 11:58 UTC,N/A,false,N/A,
Hebrew for Absolute Beginners,"<p>Brand new to Hebrew? This course is a simple but comprehensive audio course designed to be the easiest way to start learning and speaking Hebrew. Learning Hebrew can be easy or hard, and it all depends on HOW you start. Start the hard way (reading grammar and memorizing words), and you’ll quickly think, “Languages are just not my thing.” Start easy, and you’ll be shocked by how much Hebrew you’ll learn. Listen to real native speakers to get accustomed to the flow of Hebrew. Hear everyday conversations to learn practical dialogue. And start speaking from your first lesson. This course also includes a PDF that covers everything from the audio tracks and much more.</p>

<p>This course was created by InnovativeLanguage.com and EverCourse. We are pleased to host the course in our library.</p>",Course,2025-08-18 04:52 UTC,N/A,false,N/A,
The AI-Driven Project Manager: 10X Your Productivity with Generative AI,"Learn how to uplevel your projects and streamline your work with ChatGPT. In this course, senior program manager and founder of Path to PM Jean Kang shares proven tips to help you automate and speed up common project management tasks. Learn how to use ChatGPT to build a project plan, based on factors such as resource availability and project timelines. Discover how to leverage ChatGPT for risk and change management to quickly identify potential issues and take action before they threaten project outcomes. Explore ways to use ChatGPT to craft stakeholder communication tailored to each individual, taking into account their preferences and communication style. Finally, Jean delves into using ChatGPT for project tracking and reporting, so that you can stay on top of project progress and make data-driven decisions.",Course,2025-02-26 20:28 UTC,N/A,false,N/A,
